table_name	column_name	system_type_id	user_type_id	max_length	precision	scale	is_nullable	is_ansi_padded
AcquisitionVariant_	ToDT	61	61	8	23	3	0	0
AcquisitionVariant_	DataEntryURI	231	231	508	0	0	1	1
AcquisitionVariant_	SPCURI	231	231	508	0	0	1	1
AcquisitionVariant_	AcquisitionImageURI	231	231	508	0	0	1	1
AcquisitionVariant_	LoginID	52	52	2	5	0	0	0
AcquisitionVariant_	ModifiedDT	61	61	8	23	3	0	0
AcquisitionVariant_	Comments	231	231	508	0	0	1	1
AcquisitionVariant_	Instructions	231	231	-1	0	0	1	1
AcquisitionVariant_	PartID	56	56	4	10	0	1	0
AcquisitionVariant_	Variant1	231	231	200	0	0	1	1
AcquisitionVariant_	Variant2	231	231	200	0	0	1	1
AcquisitionVariant_	Variant3	231	231	200	0	0	1	1
AcquisitionVariant_	Variant4	231	231	200	0	0	1	1
AcquisitionVariant_	Variant5	231	231	200	0	0	1	1
AcquisitionVariant_	Variant6	231	231	200	0	0	1	1
AcquisitionVariant_	Variant7	231	231	200	0	0	1	1
AcquisitionVariant_	Variant8	231	231	200	0	0	1	1
AcquisitionVariant_	Variant9	231	231	200	0	0	1	1
AcquisitionVariant_	Variant10	231	231	200	0	0	1	1
AcquisitionVariant_	Variant11	231	231	200	0	0	1	1
AcquisitionVariant_	Variant12	231	231	200	0	0	1	1
AcquisitionVariant_	Variant13	231	231	200	0	0	1	1
AcquisitionVariant_	Variant14	231	231	200	0	0	1	1
AcquisitionVariant_	Variant15	231	231	200	0	0	1	1
AcquisitionVariant_	ToolTypeID	52	52	2	5	0	1	0
AcquisitionVariant_	NoCavities	48	48	1	3	0	1	0
AcquisitionVariant_	Documents	231	231	-1	0	0	1	1
AcquisitionVariant_	IsSuspendable	48	48	1	3	0	0	0
AcquisitionVariant_	IsRotatableStepPlan	48	48	1	3	0	0	0
AcquisitionVariant_	EBAReference	231	231	100	0	0	1	1
AcquisitionVariant_	Variant16	231	231	200	0	0	1	1
AcquisitionVariant_	Variant17	231	231	200	0	0	1	1
AcquisitionVariant_	Variant18	231	231	200	0	0	1	1
AcquisitionVariant_	Variant19	231	231	200	0	0	1	1
AcquisitionVariant_	Variant20	231	231	200	0	0	1	1
Action	ActionID	56	56	4	10	0	0	0
Action	RfSpecialActionTypeID	56	56	4	10	0	0	0
Action	ActionTypeID	52	52	2	5	0	0	0
Action	ActionSubTypeID	52	52	2	5	0	0	0
Action	ActionPlanID	52	52	2	5	0	1	0
Action	ActionPlanCode	231	231	508	0	0	1	1
Action	ActionName	231	231	508	0	0	0	1
Action	Description	231	231	2000	0	0	1	1
Action	ActionOrder	52	52	2	5	0	1	0
Action	RfPriorityID	48	48	1	3	0	1	0
Action	SubmitterID	52	52	2	5	0	0	0
Action	SubmittedDT	61	61	8	23	3	0	0
Action	OwnerID	52	52	2	5	0	0	0
Action	ActionStatusID	48	48	1	3	0	0	0
Action	ClosedDT	61	61	8	23	3	0	0
Action	ModifiedDT	61	61	8	23	3	0	0
Action	LoginID	52	52	2	5	0	0	0
Action	IsEdited	48	48	1	3	0	0	0
Action	RevisionNo	48	48	1	3	0	0	0
Action	DueDT	61	61	8	23	3	0	0
Action	DeadlineDT	61	61	8	23	3	0	0
Action	ExpiryDT	61	61	8	23	3	0	0
