db,table,column,type,length,precision,scale,nullable,padded
dbo,AcquisitionVariant,DefectTagProfileID,smallint,2,5,0,0,0
dbo,AcquisitionVariant,RfAcquisitionClassID,tinyint,1,3,0,0,0
dbo,AcquisitionVariant,RfDataCollectionFreqID,tinyint,1,3,0,0,0
dbo,AcquisitionVariant,DataCollectionPeriod,int,4,10,0,0,0
dbo,AcquisitionVariant,IsRetired,tinyint,1,3,0,0,0
dbo,AcquisitionVariant,AcqPlan,varchar,4000,0,0,0,1
dbo,AcquisitionVariant,VMTPID,smallint,2,5,0,0,0
dbo,AcquisitionVariant,CauseActionTPID,smallint,2,5,0,0,0
dbo,AcquisitionVariant,Variant,nvarchar,508,0,0,0,1
dbo,AcquisitionVariant,PartTypeID,smallint,2,5,0,0,0
dbo,AcquisitionVariant,RevisionNo,smallint,2,5,0,0,0
dbo,AcquisitionVariant,IsEdited,tinyint,1,3,0,0,0
dbo,AcquisitionVariant,HeadAlias,nvarchar,40,0,0,0,1
dbo,AcquisitionVariant,CauseTagListID,smallint,2,5,0,1,0
dbo,AcquisitionVariant,ActionTagListID,smallint,2,5,0,1,0
dbo,AcquisitionVariant,IsMeasuredWhenProduced,tinyint,1,3,0,0,0
dbo,AcquisitionVariant,IsInvPackCheck,tinyint,1,3,0,0,0
dbo,AcquisitionVariant,IsEBATrigger,tinyint,1,3,0,0,0
dbo,AcquisitionVariant_,AcquisitionVariantID,smallint,2,5,0,0,0
dbo,AcquisitionVariant_,FromDT,datetime,8,23,3,0,0
dbo,AcquisitionVariant_,ToDT,datetime,8,23,3,0,0
dbo,AcquisitionVariant_,DataEntryURI,nvarchar,508,0,0,1,1
dbo,AcquisitionVariant_,SPCURI,nvarchar,508,0,0,1,1
dbo,AcquisitionVariant_,AcquisitionImageURI,nvarchar,508,0,0,1,1
dbo,AcquisitionVariant_,LoginID,smallint,2,5,0,0,0
dbo,AcquisitionVariant_,ModifiedDT,datetime,8,23,3,0,0
dbo,AcquisitionVariant_,Comments,nvarchar,508,0,0,1,1
dbo,AcquisitionVariant_,Instructions,nvarchar,-1,0,0,1,1
dbo,AcquisitionVariant_,PartID,int,4,10,0,1,0
dbo,AcquisitionVariant_,Variant1,nvarchar,200,0,0,1,1
dbo,AcquisitionVariant_,Variant2,nvarchar,200,0,0,1,1
dbo,AcquisitionVariant_,Variant3,nvarchar,200,0,0,1,1
dbo,AcquisitionVariant_,Variant4,nvarchar,200,0,0,1,1
dbo,AcquisitionVariant_,Variant5,nvarchar,200,0,0,1,1
dbo,AcquisitionVariant_,Variant6,nvarchar,200,0,0,1,1
dbo,AcquisitionVariant_,Variant7,nvarchar,200,0,0,1,1
dbo,AcquisitionVariant_,Variant8,nvarchar,200,0,0,1,1
dbo,AcquisitionVariant_,Variant9,nvarchar,200,0,0,1,1
dbo,AcquisitionVariant_,Variant10,nvarchar,200,0,0,1,1
dbo,AcquisitionVariant_,Variant11,nvarchar,200,0,0,1,1
dbo,AcquisitionVariant_,Variant12,nvarchar,200,0,0,1,1
dbo,AcquisitionVariant_,Variant13,nvarchar,200,0,0,1,1
dbo,AcquisitionVariant_,Variant14,nvarchar,200,0,0,1,1
dbo,AcquisitionVariant_,Variant15,nvarchar,200,0,0,1,1
dbo,AcquisitionVariant_,ToolTypeID,smallint,2,5,0,1,0
dbo,AcquisitionVariant_,NoCavities,tinyint,1,3,0,1,0
dbo,AcquisitionVariant_,Documents,nvarchar,-1,0,0,1,1
dbo,AcquisitionVariant_,IsSuspendable,tinyint,1,3,0,0,0
dbo,AcquisitionVariant_,IsRotatableStepPlan,tinyint,1,3,0,0,0
dbo,AcquisitionVariant_,EBAReference,nvarchar,100,0,0,1,1
dbo,AcquisitionVariant_,Variant16,nvarchar,200,0,0,1,1
dbo,AcquisitionVariant_,Variant17,nvarchar,200,0,0,1,1
dbo,AcquisitionVariant_,Variant18,nvarchar,200,0,0,1,1
dbo,AcquisitionVariant_,Variant19,nvarchar,200,0,0,1,1
dbo,AcquisitionVariant_,Variant20,nvarchar,200,0,0,1,1
dbo,Action,ActionID,int,4,10,0,0,0
dbo,Action,RfSpecialActionTypeID,int,4,10,0,0,0
dbo,Action,ActionTypeID,smallint,2,5,0,0,0
dbo,Action,ActionSubTypeID,smallint,2,5,0,0,0
dbo,Action,ActionPlanID,smallint,2,5,0,1,0
dbo,Action,ActionPlanCode,nvarchar,508,0,0,1,1
dbo,Action,ActionName,nvarchar,508,0,0,0,1
dbo,Action,Description,nvarchar,2000,0,0,1,1
dbo,Action,ActionOrder,smallint,2,5,0,1,0
dbo,Action,RfPriorityID,tinyint,1,3,0,1,0
dbo,Action,SubmitterID,smallint,2,5,0,0,0
dbo,Action,SubmittedDT,datetime,8,23,3,0,0
dbo,Action,OwnerID,smallint,2,5,0,0,0
dbo,Action,ActionStatusID,tinyint,1,3,0,0,0
dbo,Action,ClosedDT,datetime,8,23,3,0,0
dbo,Action,ModifiedDT,datetime,8,23,3,0,0
dbo,Action,LoginID,smallint,2,5,0,0,0
dbo,Action,IsEdited,tinyint,1,3,0,0,0
dbo,Action,RevisionNo,tinyint,1,3,0,0,0
dbo,Action,DueDT,datetime,8,23,3,0,0
dbo,Action,DeadlineDT,datetime,8,23,3,0,0
dbo,Action,ExpiryDT,datetime,8,23,3,0,0
dbo,Action,SortOrder,float,8,53,0,0,0
dbo,ActionNote,ActionNoteID,int,4,10,0,0,0
dbo,ActionNote,ActionID,int,4,10,0,0,0
dbo,ActionNote,Note,nvarchar,508,0,0,0,1
dbo,ActionNote,Comments,nvarchar,508,0,0,1,1
dbo,ActionNote,NoteDT,datetime,8,23,3,0,0
dbo,ActionNote,LoginID,smallint,2,5,0,0,0
dbo,ActionNote,Reference1,nvarchar,508,0,0,1,1
dbo,ActionNote,Reference2,nvarchar,508,0,0,1,1
dbo,ActionNote,Reference3,nvarchar,508,0,0,1,1
dbo,ActionPlan,ActionPlanID,smallint,2,5,0,0,0
dbo,ActionPlan,RfSpecialActionTypeID,int,4,10,0,0,0
dbo,ActionPlan,ActionTypeID,smallint,2,5,0,0,0
dbo,ActionPlan,ActionSubTypeID,smallint,2,5,0,0,0
dbo,ActionPlan,ActionPlanCode,nvarchar,508,0,0,1,1
dbo,ActionPlan,ActionName,nvarchar,508,0,0,0,1
dbo,ActionPlan,Description,nvarchar,2000,0,0,1,1
dbo,ActionPlan,ActionPlanOrder,smallint,2,5,0,0,0
dbo,ActionPlan,RfPriorityID,tinyint,1,3,0,1,0
dbo,ActionPlan,IsRetired,tinyint,1,3,0,0,0
dbo,ActionPlan,VariableTypeID,int,4,10,0,1,0
dbo,ActionPlan,AttributeTypeID,int,4,10,0,1,0
dbo,ActionPlan,IsCompulsory,tinyint,1,3,0,0,0
dbo,ActionPlan,SortOrder,float,8,53,0,0,0
dbo,ActionPlan,IsOCApplicable,tinyint,1,3,0,0,0
dbo,ActionPlan,IsOSApplicable,tinyint,1,3,0,0,0
dbo,ActionStatus,ActionStatusID,tinyint,1,3,0,0,0
dbo,ActionStatus,ActionStatus,nvarchar,508,0,0,0,1
dbo,ActionStatus,ConditionalFormat,nvarchar,508,0,0,1,1
dbo,ActionStatus,IsClosedState,tinyint,1,3,0,0,0
dbo,ActionSubType,ActionSubTypeID,smallint,2,5,0,0,0
dbo,ActionSubType,ActionSubType,nvarchar,508,0,0,0,1
dbo,ActionSubType,ActionTypeID,smallint,2,5,0,0,0
dbo,ActionSubType,Description,nvarchar,508,0,0,1,1
dbo,ActionSubType,SubActionTypeCode,nvarchar,508,0,0,1,1
dbo,ActionSubType,ReportOrder,smallint,2,5,0,0,0
